Experiment,N Features,CV Accuracy,CV F1,CV F1 Std,CV ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Test PR-AUC,Model
E1: Naive Mean Count,1,0.8127,0.8164,0.0913,0.853,0.7657,0.737,0.8419,0.786,0.7633,0.6618,Random Forest
E2: Density Only,2,0.8625,0.8682,0.1031,0.8815,0.8283,0.7609,0.9684,0.8522,0.7884,0.6968,Random Forest
E3: E2 + Stability,5,0.9781,0.9784,0.0177,0.9976,0.9939,0.996,0.9921,0.9941,0.9999,0.9999,Random Forest
E4: E3 + Geometry,7,0.9896,0.99,0.0044,0.9985,0.9919,0.996,0.9881,0.9921,0.9998,0.9998,Random Forest
E5: Full TUBLEX,11,0.9901,0.9904,0.0046,0.9986,0.9939,0.996,0.9921,0.9941,0.9999,0.9999,Random Forest
E1: Naive Mean Count,1,0.8185,0.8301,0.1073,0.8104,0.897,0.8582,0.9565,0.9047,0.8369,0.7015,XGBoost
E2: Density Only,2,0.837,0.8488,0.1145,0.8317,0.7919,0.7131,0.9921,0.8298,0.8037,0.6676,XGBoost
E3: E2 + Stability,5,0.9876,0.9881,0.0058,0.9986,0.9899,0.996,0.9842,0.9901,0.9998,0.9998,XGBoost
E4: E3 + Geometry,7,0.9886,0.9888,0.0048,0.999,0.9879,0.996,0.9802,0.988,0.9998,0.9998,XGBoost
E5: Full TUBLEX,11,0.9916,0.9921,0.0053,0.9993,0.9859,0.996,0.9763,0.986,0.9998,0.9998,XGBoost
